  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28      2 1142    28
  1317      2 1181    18      1 1178    18
  4960      3 1055    13      4  957    13
  1084      4 1243    49      3 1201    49
  6523      5  816    17      6  683    17
  4963      6  662     2      7  612     2
   700      7  636     2      5  599     2
  3912      8  772     5     34  368     5
  6259      9  837     9     11  698     9
 11366     10  798     3     14  641     3
 25118     11  760     9      8  749     9
  3507     12  671    20     18  549    20
   953     13  624     6     12  591     6
  6538     14  592     9      9  587     9
   698     15  714    19     10  704    19
 17388     16  544     3     49  292     3
  1898     17  814    18     13  809    18
  1934     18  786    18     15  783    18
   799     19  746    10     19  662    10
  2436     20  632     0     21  558     0
  6518     21  779    29     16  771    29
 25119     22  659     8     42  438     8
   695     23  485     8     20  476     8
   699     24  537    14     25  481    14
 25121     25  704     0   1841   35     0
  6540     26  684     3     33  498     3
  4597     27  657    25     24  621    25
  2941     28  655     6     27  600     6
  8672     29  580    17     26  540    17
  4770     30  503    11     23  493    11
  6541     31  592    27     22  592    27
  4613     32  679     5     28  643     5
  4590     33  634     5     29  599     5
 25115     34  603    21     35  534    21
  6533     35  539     0     55  390     0
 25116     36  471    12     36  443    12
  5648     37  441     7     30  440     7
  4969     38  504    17     44  432    17
  3786     39  407     5     32  406     5
 23655     40  360    14     48  302    14
    42     41  309    17     31  309    17
   233     42  327    12     68  219    12
  3265     43    6     2     39    6     2
 24415     44  365    13     40  343    13
  9218     45   57     4     41   56     4
  5814     46  430    14     37  423    14
  9217     49    8     2     46    7     2
 10143     50  479    16     38  472    16
  4587     51  404    11     47  376    11
  1232     52  463     1     43  456     1
   398     53  412     9     50  372     9
 27211     54  211     3     17  211     3
   697     55  437     6     65  313     6
  4585     56  322    17     45  317    17
 26085     57  485    15     52  447    15
 12858     58    1     1     53    1     1
 12859     59    1     3     54    1     3
 12890     60  374    20     58  296    20
  6526     61  343     6     67  267     6
  2099     62  394    10     57  373    10
 32817     63  417    17     56  401    17
 11815     64   16     3     61   16     3
  6527     65  333     1     83  227     1
  6274     66  242     4     59  221     4
 17395     67  119     1    124   59     1
 11830     68    8    11     69    8    11
  6273     69  218     7     64  199     7
  7786     70  302    24    120  132    24
  4586     71  227     3     66  209     3
 61847     72  406    15     62  384    15
  3938     73  223     2    148   98     2
  3911     74  218     8    102  159     8
 56543     75  273     3     60  264     3
  2714     76  140     2   1137   41     2
  9562     77  316    10     70  301    10
  5287     78   80     8     51   80     8
 61849     81  402    15     72  380    15
  6535     82  316    10     73  306    10
  2756     83  176     5     71  169     5
 17393     84    2    10    152    2    10
 30647     85  260     4     90  186     4
  4980     86  113     5     77  112     5
  1831     87  270    12     74  268    12
 16422     88    1     1     96    1     1
 34695     89  208    13     78  203    13
  6520     90  289    10     79  287    10
  6530     91  290     7     86  242     7
  7744     92  255    12     85  242    12
  6277     93  170     6     87  153     6
  1370     94  160     6     76  160     6
 16423     95    2     4    126    1     4
  1255     96  251    11     84  229    11
    59     97  143     4     80  143     4
 17394     98   18     3    174   12     3
 19048     99  212     7    135  139     7
 36905    100   63    20     92   61    20
