  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2894    44
   185      2 1317   372      2 1268   370
   529      3 1140    46      3 1115    46
   230      4 1284   102      5 1227   102
   114      5 1004   123      4  976   123
   132      6 1180   111      6 1139   111
   530      7 1521   171      7 1450   152
    36      8  817   238      8  809   238
  1960      9  784   123      9  751   123
  2136     10  708    38     19  617    38
   323     11 1166    85     10 1150    85
  1961     12  768   117     22  716   112
   124     13  848   101     11  832   100
    73     14  694   199     13  678   195
   540     15  625   139     14  595   139
   335     16  586   153     15  564   153
   173     17  694   274     17  660   267
   492     18  522    96     20  502    96
    23     19  894   334     16  873   333
   275     20  507   109     21  493   109
   542     21  497   226     23  478   222
   150     22  724   200     12  717   200
   131     23  632   188     18  624   187
   615     24  482    66     24  473    66
   372     25  577   120     34  535   119
   563     26  683    30     36  625    30
   277     27  439   139     29  428   139
    55     28  517    86     27  508    86
   174     29  614    85     28  595    85
  2137     30  941   106     37  912   105
    24     31  785   139     26  776   139
  2902     32  540   158     40  497   155
   140     33  802   320     32  786   320
   489     34  623    60     38  597    60
    30     35  820   493     25  816   493
   183     36  625   236     35  614   236
   157     37  657   152     30  651   152
   231     38  800    37     53  751    36
   165     39  496    99     33  482    99
   380     40  457   193     31  455   193
    60     41  499    47     48  471    47
   269     42  365   128     39  358   125
  1139     43  527   103     46  508   103
   186     44  524   308     42  509   303
  2158     45  391    93     47  378    93
  1972     46  328   161     45  317   160
  1783     47  440   119     44  426   118
   512     48  372    80     64  341    80
   220     49  908     3     51  891     3
    40     50  672   843     65  635   815
    27     51  579   440     41  576   439
    45     52  519    90     57  491    90
   407     53  378   111     52  365   111
   292     54  579   258     43  576   257
   357     55  423   422     50  414   413
   487     56  352   354     69  333   335
  2130     57  439    97     74  410    96
  2469     58  339    70     58  328    70
   703     59  433   124     56  428   124
   697     60  423   424     76  402   403
   734     61  369   162     49  368   162
  2510     62  820   313     70  809   311
   163     63  442    88     71  426    87
  2122     64  319   125     80  297   111
   149     65  401   140     54  393   139
   121     66  668    68     61  663    67
     0     67  636   139     62  624   139
   154     68  506   140     55  501   140
   294     69  491   120     68  484   120
    70     70  512   188     60  499   188
   199     71  441    56     67  434    56
    15     72  466   190     59  464   190
   322     73  464    23     72  455    23
   559     74  414    91    105  372    91
   344     75  425   210     66  423   210
