  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2303    43
   185      2 1317   372      2 1051   361
   529      3 1140    46      4  901    46
   230      4 1284   102      7 1006   102
   114      5 1004   123      3  844   123
   132      6 1180   111      6  986   111
   530      7 1521   171      8 1198   139
    36      8  817   238      5  757   236
  1960      9  784   123     11  632   122
  2136     10  708    38     63  432    37
   323     11 1166    85     12 1021    84
  1961     12  768   117     48  582   107
   124     13  848   101     19  769    97
    73     14  694   199     17  601   189
   540     15  625   139     15  505   135
   335     16  586   153     20  486   150
   173     17  694   274     13  578   263
   492     18  522    96     22  431    94
    23     19  894   334     10  766   333
   275     20  507   109     21  453   109
   542     21  497   226     26  434   218
   150     22  724   200      9  677   200
   131     23  632   188     18  565   183
   615     24  482    66     30  425    65
   372     25  577   120     37  455   119
   563     26  683    30     71  469    30
   277     27  439   139     27  398   139
    55     28  517    86     36  398    84
   174     29  614    85     25  519    84
  2137     30  941   106     59  752   101
    24     31  785   139     23  690   138
  2902     32  540   158     60  391   150
   140     33  802   320     28  720   317
   489     34  623    60     52  511    60
    30     35  820   493     14  777   490
   183     36  625   236     32  574   235
   157     37  657   152     16  631   152
   231     38  800    37     72  630    36
   165     39  496    99     31  445    97
   380     40  457   193     24  440   191
    60     41  499    47     70  380    47
   269     42  365   128     41  323   121
  1139     43  527   103     51  457   101
   186     44  524   308     45  459   296
  2158     45  391    93     49  330    92
  1972     46  328   161     39  299   160
  1783     47  440   119     47  389   118
   512     48  372    80     91  274    76
   220     49  908     3     34  844     3
    40     50  672   843     75  558   734
    27     51  579   440     29  532   429
    45     52  519    90     69  410    90
   407     53  378   111     58  318   107
   292     54  579   258     35  553   256
   357     55  423   422     43  386   385
   487     56  352   354     79  299   301
  2130     57  439    97    139  316    87
  2469     58  339    70     65  289    69
   703     59  433   124     53  400   124
   697     60  423   424    127  332   332
   734     61  369   162     33  361   161
  2510     62  820   313     61  729   296
   163     63  442    88     77  371    87
  2122     64  319   125    147  240    95
   149     65  401   140     46  370   133
   121     66  668    68     68  576    57
     0     67  636   139     50  566   138
   154     68  506   140     44  457   140
   294     69  491   120     62  443   120
    70     70  512   188     40  463   188
   199     71  441    56     57  403    55
    15     72  466   190     42  452   189
   322     73  464    23     55  417    23
   559     74  414    91    172  283    89
   344     75  425   210     54  408   207
