  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28      6  266    28
  1317      2 1181    18     10  177    18
  4960      3 1055    13      1  822    13
  1084      4 1243    49      3  554    49
  6523      5  816    17      2  428    17
  4963      6  662     2    360   15     2
  3912      8  772     5    597    4     1
  6259      9  837     9    209   23     9
 11366     10  798     3      4  365     3
 25118     11  760     9   4141    5     0
  3507     12  671    20    232   19    20
   953     13  624     6     35   76     6
  6538     14  592     9      8  193     9
   698     15  714    19     32   64    19
  1898     17  814    18      9  233    18
  1934     18  786    18    110   35    18
   799     19  746    10     22  166    10
  2436     20  632     0    406   19     0
  6518     21  779    29      5  504    29
 25119     22  659     8   3283    6     0
   699     24  537    14     69   39    14
 25121     25  704     0   1749    5     0
  6540     26  684     3     20  137     3
  4597     27  657    25     21  128    25
  2941     28  655     6     11  256     6
  4770     30  503    11    176   20    11
  6541     31  592    27      7  309    27
  4613     32  679     5     24  132     5
  4590     33  634     5     25  121     5
  6533     35  539     0  10827    3     0
 25116     36  471    12    441    7     1
  5648     37  441     7     23   84     7
  4969     38  504    17     27  116    17
  3786     39  407     5     13  203     5
    42     41  309    17     61   35    17
  3265     43    6     2    272    4     2
 24415     44  365    13    413   17    13
  9218     45   57     4   1074    2     4
  5814     46  430    14     14  211    14
  9217     49    8     2   1000    3     2
 10143     50  479    16     17  246    16
  4587     51  404    11   1001   15    11
  1232     52  463     1    634   18     1
   398     53  412     9     28   94     9
   697     55  437     6    355   14     6
  4585     56  322    17     18  139    17
  6526     61  343     6    158   33     6
  2099     62  394    10     15  228    10
 32817     63  417    17   3199    5     0
 11815     64   16     3     16   16     3
  6527     65  333     1   4082    5     1
  6274     66  242     4    310   11     4
 11830     68    8    11     19    7    11
  6273     69  218     7    456   10     3
  4586     71  227     3    170   13     3
  3911     74  218     8    726    2     1
  2714     76  140     2  11346    1     0
  9562     77  316    10    329   21    10
  5287     78   80     8    113   14     8
  6535     82  316    10     47   94    10
  2756     83  176     5     34   56     5
  4980     86  113     5     12   97     5
 16422     88    1     1   3652    1     1
  6520     90  289    10     30  110    10
  6530     91  290     7     54   74     7
  6277     93  170     6    765    7     4
  1370     94  160     6    133   35     6
 16423     95    2     4   3388    1     4
    59     97  143     4    339   12     2
