  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      2 1695   291
     3      2 1049  1163      1  972  1163
   338      3  672   735     33  459   489
   102      4  695   937      4  625   937
   145      5 1496   873      3 1290   873
  4251      6 1088   426      8  870   343
   308      7  856   646     11  702   558
  1644      8 1518   790     10 1043   550
   952      9 1116  1625      9  894  1150
   127     10  850   947      5  754   947
   172     11  986  1635      6  883  1635
   894     12  408   404    200  273   277
  1882     13 1248   970     14  955   744
  1249     14 1195  1683     16  888  1128
  2093     15 1190  1774     20  913   888
   619     16 1184   953     12  949   759
   353     17  812  1041     23  628   787
  2371     18  490   396    141  304   250
  1764     19  789  2414    130  526   907
  1351     20 1023  1071     19  826   885
   903     21 1126  1033     17  926   863
  1113     22  841  2175      7  732  2175
   149     23  867   762     32  665   539
   396     24  638   792     38  498   588
   736     25  726   824     13  637   683
   138     26  537  1355     70  408   705
   165     27  610   547     22  527   511
  2376     28 1016  1362     42  768   866
   142     29  822   405     25  714   367
  2569     30 1037  1482     27  831  1164
   957     31  983   772     15  849   772
  4709     32  814  1260     47  624   874
  1511     33  740  1581     59  541   979
  1164     34  736   480     37  606   396
   745     35  668   519     31  558   441
   131     36  633   873     41  532   583
  3878     37  769   953     61  591   732
   867     38  868  1000     39  658   725
   921     39  734   628     52  568   499
   907     40  819  1310     40  665  1041
   960     41 1027  1300     26  854  1122
   213     43  756  1364     18  663  1364
  3786     44  923   876     53  774   663
  1387     45  765   396     34  672   358
   519     46  817   670     24  732   670
   887     47  793  1209     28  690   980
  4972     48  894  1829     66  647  1034
   302     49  775  1168     73  529   749
   155     50  797   828     29  686   661
    50     51  487   399     30  442   399
  3493     52  939   968     43  801   835
  1446     53  929   672     35  766   528
  1964     54  644   709    119  463   444
   924     55  714   861     46  566   670
  1558     56  931   399     58  721   336
   374     57  802  1103     21  761  1103
   205     58  458  1527    116  368  1098
  2871     59  856  1667     79  644  1122
   939     60  559   212    102  427   147
   203     61  717   771     49  605   643
  1659     62  590  1607    195  423   778
  3185     63  592   767    109  447   497
    80     64  711  1075     54  563   840
  2731     65  841   631     60  660   514
   830     66  595   502     57  489   362
   844     67  763   339     36  667   339
  4600     68  577   729    186  425   454
  3052     69  788  1248     76  618   859
  1298     70  732   723     45  610   505
   393     71  730   804     69  581   622
   816     72  736   671     51  619   573
   853     73  616   873     50  531   648
   500     74  624   627     44  548   542
  3996     75  614   501     56  506   415
  2207     76  666   900    106  531   618
   126     77  470   365    125  374   284
   101     78  366   118    111  305   118
  1055     79  628   930    103  470   643
  2775     80  667   971     65  549   744
  1431     81  825  1000     64  675   827
  1803     82  875  1482     80  667  1008
  3823     83  512   814    325  348   416
  1514     84  686   392     88  500   316
  2245     85  571   275     94  424   203
  1694     86  760  1053     77  620   831
   892     87  420   362    156  324   261
  3915     88  477   472    144  338   314
    48     89  419   260    143  314   203
   116     90  435   278     67  377   225
  1105     91  481   770    189  378   605
  1030     92  737   853     84  588   594
  1188     93  664   683     86  536   443
  7438     94  674  2083    149  492   956
  2607     95  709  2502    117  528  1293
   493     96  432   425    231  301   303
  5004     97  655   539    140  509   432
    63     98  728  1269     71  617  1269
  1450     99  793   548     63  663   478
  1557    100  645   981    124  491   658
