  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1  897   160
     3      2 1049  1163     13  436   435
   338      3  672   735     89  258   265
   102      4  695   937     86  252   224
   145      5 1496   873      2  691   442
  4251      6 1088   426      8  477   194
   308      7  856   646     34  361   260
  1644      8 1518   790      3  550   278
   952      9 1116  1625      6  482   556
   127     10  850   947     20  359   290
   172     11  986  1635     23  421   582
   894     12  408   404    245  151   144
  1882     13 1248   970      7  538   404
  1249     14 1195  1683      9  490   532
  2093     15 1190  1774     16  525   367
   619     16 1184   953      5  557   432
   353     17  812  1041     42  308   380
  2371     18  490   396    283  165   155
  1764     19  789  2414    125  310   429
  1351     20 1023  1071     17  477   509
   903     21 1126  1033      4  568   493
  1113     22  841  2175     68  332   452
   149     23  867   762     47  360   259
   396     24  638   792    146  229   249
   736     25  726   824     30  339   314
   138     26  537  1355    118  210   261
   165     27  610   547     55  266   251
  2376     28 1016  1362     24  458   427
   142     29  822   405     22  414   201
  2569     30 1037  1482     18  510   667
   957     31  983   772     12  501   408
  4709     32  814  1260     70  353   458
  1511     33  740  1581     41  342   543
  1164     34  736   480     31  351   234
   745     35  668   519     26  333   255
   131     36  633   873     80  278   238
  3878     37  769   953     44  349   431
   867     38  868  1000     54  353   373
   921     39  734   628     97  284   250
   907     40  819  1310     29  388   568
   960     41 1027  1300     10  536   666
   213     43  756  1364     65  322   414
  3786     44  923   876     36  468   390
  1387     45  765   396     27  394   219
   519     46  817   670     32  421   331
   887     47  793  1209     25  409   565
  4972     48  894  1829     64  387   511
   302     49  775  1168    114  290   375
   155     50  797   828     33  425   363
    50     51  487   399    152  212   178
  3493     52  939   968     14  535   565
  1446     53  929   672     19  461   318
  1964     54  644   709    154  254   199
   924     55  714   861     81  313   358
  1558     56  931   399     35  455   223
   374     57  802  1103     15  455   528
   205     58  458  1527    175  188   401
  2871     59  856  1667     75  392   590
   939     60  559   212    189  230    82
   203     61  717   771     57  356   353
  1659     62  590  1607    221  255   347
  3185     63  592   767    123  259   232
    80     64  711  1075     50  341   479
  2731     65  841   631     39  397   299
   830     66  595   502    130  234   164
   844     67  763   339     28  412   182
  4600     68  577   729    198  233   213
  3052     69  788  1248     69  386   497
  1298     70  732   723     52  360   268
   393     71  730   804     38  355   354
   816     72  736   671     62  359   333
   853     73  616   873     63  333   345
   500     74  624   627     49  323   292
  3996     75  614   501    106  282   236
  2207     76  666   900     83  335   365
   126     77  470   365    167  211   148
  1055     79  628   930    127  257   335
  2775     80  667   971     37  342   420
  1431     81  825  1000     43  422   534
  1803     82  875  1482     56  426   571
  3823     83  512   814    260  223   213
  1514     84  686   392     88  288   166
  2245     85  571   275    157  248   132
  1694     86  760  1053     71  380   487
   892     87  420   362    257  159   112
  3915     88  477   472     72  224   217
    48     89  419   260    208  163   102
  1105     91  481   770    117  264   391
  1030     92  737   853     77  355   313
  1188     93  664   683     87  323   209
  7438     94  674  2083    134  297   471
  2607     95  709  2502    185  278   466
   493     96  432   425    306  185   172
  5004     97  655   539    119  314   273
    63     98  728  1269     79  362   427
  1450     99  793   548     45  417   298
  1557    100  645   981    104  300   384
