  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 2001   275
     3      2 1049  1163     16  827   870
   338      3  672   735     83  504   533
   102      4  695   937     34  569   601
   145      5 1496   873      2 1419   794
  4251      6 1088   426      7  963   371
   308      7  856   646     20  737   556
  1644      8 1518   790      3 1298   637
   952      9 1116  1625      4  989  1247
   127     10  850   947     10  749   728
   172     11  986  1635     12  900  1392
   894     12  408   404    261  313   306
  1882     13 1248   970      6 1153   837
  1249     14 1195  1683      8 1072  1280
  2093     15 1190  1774     13 1072  1014
   619     16 1184   953      5 1117   843
   353     17  812  1041     15  719   867
  2371     18  490   396    166  382   302
  1764     19  789  2414     90  654  1019
  1351     20 1023  1071     11  957   989
   903     21 1126  1033      9 1065   960
  1113     22  841  2175     30  724  1220
   149     23  867   762     21  787   619
   396     24  638   792     51  543   627
   736     25  726   824     19  673   673
   138     26  537  1355    118  434   725
   165     27  610   547     31  556   516
  2376     28 1016  1362     25  922  1012
   142     29  822   405     27  762   370
  2569     30 1037  1482     17  974  1327
   957     31  983   772     18  921   666
  4709     32  814  1260     26  739   974
  1511     33  740  1581     63  638  1139
  1164     34  736   480     41  679   425
   745     35  668   519     29  615   469
   131     36  633   873     66  566   605
  3878     37  769   953     64  668   830
   867     38  868  1000     23  799   858
   921     39  734   628     36  681   578
   907     40  819  1310     28  766  1167
   960     41 1027  1300     14  992  1238
   213     43  756  1364     35  687  1059
  3786     44  923   876     45  862   730
  1387     45  765   396     33  729   365
   519     46  817   670     24  769   611
   887     47  793  1209     32  748  1085
  4972     48  894  1829     49  787  1219
   302     49  775  1168     54  688   940
   155     50  797   828     37  748   723
    50     51  487   399     85  434   343
  3493     52  939   968     40  887   884
  1446     53  929   672     22  886   581
  1964     54  644   709     92  566   519
   924     55  714   861     48  657   738
  1558     56  931   399     44  832   363
   374     57  802  1103     39  757   992
   205     58  458  1527    167  396  1109
  2871     59  856  1667     57  784  1257
   939     60  559   212    103  496   174
   203     61  717   771     55  669   686
  1659     62  590  1607    145  509   841
  3185     63  592   767    101  512   553
    80     64  711  1075     47  661   967
  2731     65  841   631     42  790   577
   830     66  595   502     62  554   397
   844     67  763   339     38  730   308
  4600     68  577   729    139  512   512
  3052     69  788  1248     80  693   926
  1298     70  732   723     43  682   514
   393     71  730   804     58  674   705
   816     72  736   671     46  702   622
   853     73  616   873     59  573   699
   500     74  624   627     56  586   564
  3996     75  614   501     71  565   439
  2207     76  666   900     81  612   704
   126     77  470   365    153  412   297
   101     78  366   118    251  313   101
  1055     79  628   930     93  555   721
  2775     80  667   971     72  602   803
  1431     81  825  1000     50  779   922
  1803     82  875  1482     53  817  1249
  3823     83  512   814    218  437   448
  1514     84  686   392     69  601   320
  2245     85  571   275     97  511   234
  1694     86  760  1053     67  713   921
   892     87  420   362    165  368   284
  3915     88  477   472    163  411   388
    48     89  419   260    182  366   223
   116     90  435   278    168  376   214
  1105     91  481   770    161  433   672
  1030     92  737   853     60  695   720
  1188     93  664   683     68  623   507
  7438     94  674  2083    108  590  1037
  2607     95  709  2502     96  631  1372
   493     96  432   425    198  366   338
  5004     97  655   539    133  590   469
    63     98  728  1269     74  677   973
  1450     99  793   548     52  759   522
  1557    100  645   981     98  593   765
