  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2894    44
   185      2 1317   372      2 1271   371
   529      3 1140    46      3 1099    46
   230      4 1284   102      5 1220   102
   114      5 1004   123      4  965   123
   132      6 1180   111      6 1136   111
   530      7 1521   171      7 1453   155
    36      8  817   238      8  807   238
  1960      9  784   123      9  748   123
  2136     10  708    38     21  619    37
   323     11 1166    85     10 1147    85
  1961     12  768   117     24  721   112
   124     13  848   101     11  835   100
    73     14  694   199     12  684   197
   540     15  625   139     14  602   139
   335     16  586   153     15  569   153
   173     17  694   274     17  661   268
   492     18  522    96     18  506    96
    23     19  894   334     16  874   333
   275     20  507   109     19  494   109
   542     21  497   226     22  478   223
   150     22  724   200     13  715   200
   131     23  632   188     20  617   187
   615     24  482    66     26  472    66
   372     25  577   120     33  536   120
   563     26  683    30     39  612    30
   277     27  439   139     28  429   139
    55     28  517    86     30  491    86
   174     29  614    85     25  602    85
  2137     30  941   106     36  901   105
    24     31  785   139     29  766   139
  2902     32  540   158     43  488   156
   140     33  802   320     34  778   319
   489     34  623    60     37  596    60
    30     35  820   493     23  815   492
   183     36  625   236     35  614   236
   157     37  657   152     27  654   152
   231     38  800    37     53  747    36
   165     39  496    99     32  480    99
   380     40  457   193     31  455   193
    60     41  499    47     52  468    47
   269     42  365   128     38  355   125
  1139     43  527   103     45  509   103
   186     44  524   308     41  511   304
  2158     45  391    93     47  375    93
  1972     46  328   161     46  315   160
  1783     47  440   119     42  425   119
   512     48  372    80     66  341    80
   220     49  908     3     49  895     3
    40     50  672   843     61  644   816
    27     51  579   440     40  574   438
    45     52  519    90     59  491    90
   407     53  378   111     51  364   111
   292     54  579   258     44  575   257
   357     55  423   422     50  414   413
   487     56  352   354     69  335   335
  2130     57  439    97     76  409    96
  2469     58  339    70     60  331    70
   703     59  433   124     56  428   124
   697     60  423   424     77  399   400
   734     61  369   162     48  368   162
  2510     62  820   313     65  814   311
   163     63  442    88     71  427    87
  2122     64  319   125     89  294   111
   149     65  401   140     54  393   139
   121     66  668    68     64  658    65
     0     67  636   139     62  626   139
   154     68  506   140     57  488   140
   294     69  491   120     72  478   120
    70     70  512   188     55  502   188
   199     71  441    56     67  435    56
    15     72  466   190     58  465   190
   322     73  464    23     70  455    23
   559     74  414    91    115  366    91
   344     75  425   210     68  423   210
