  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1  912    21
   114      5 1004   123      7  406    62
   132      6 1180   111     21  367    93
   530      7 1521   171     45  418    89
    36      8  817   238      6  427   173
   323     11 1166    85     17  535    62
   124     13  848   101     44  302    54
    73     14  694   199     12  344   110
   335     16  586   153     29  270    86
   173     17  694   274     25  305   140
    23     19  894   334      3  578   278
   275     20  507   109     50  228    79
   542     21  497   226     78  194   111
   150     22  724   200      2  563   186
   131     23  632   188     24  326   113
   615     24  482    66    151  137    37
   372     25  577   120     10  334    90
   277     27  439   139     32  205   109
    55     28  517    86     42  209    64
   174     29  614    85      9  367    65
    24     31  785   139     15  412   112
   140     33  802   320     13  434   268
    30     35  820   493      5  613   427
   183     36  625   236     39  308   157
   157     37  657   152      4  534   138
   231     38  800    37    207  216    26
   165     39  496    99     65  213    53
   380     40  457   193     54  246   111
   269     42  365   128     61  136    39
  1139     43  527   103    114  209    77
   186     44  524   308     51  237   187
  1783     47  440   119    111  178    74
   220     49  908     3     84  374     0
    40     50  672   843    102  249   366
    27     51  579   440     14  393   320
    45     52  519    90     73  210    55
   292     54  579   258     19  360   225
   357     55  423   422     88  206   206
   703     59  433   124    117  183    90
   734     61  369   162     89  183    76
  2510     62  820   313    105  319   183
   163     63  442    88    133  179    63
   149     65  401   140     41  247    83
   121     66  668    68     67  302    39
     0     67  636   139     16  430   128
   154     68  506   140     23  324   125
   294     69  491   120     59  241   103
    70     70  512   188      8  410   175
   199     71  441    56     37  260    54
    15     72  466   190     27  335   165
   322     73  464    23     68  227    14
   344     75  425   210     46  281   149
