  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 1189    44
   185      2 1317   372      2  711   372
   529      3 1140    46      6  488    46
   230      4 1284   102     16  502   102
   114      5 1004   123      5  560   123
   132      6 1180   111      7  553   111
   530      7 1521   171     12  632   124
    36      8  817   238      4  574   217
  1960      9  784   123     18  387   123
  2136     10  708    38    141  185    30
   323     11 1166    85     24  612    82
  1961     12  768   117    103  272    96
   124     13  848   101     23  457   101
    73     14  694   199     11  446   199
   540     15  625   139     14  349   139
   335     16  586   153     21  352   153
   173     17  694   274      9  421   274
   492     18  522    96     29  298    89
    23     19  894   334     22  464   316
   275     20  507   109     25  347   109
   542     21  497   226     17  323   226
   150     22  724   200      8  523   200
   131     23  632   188     20  424   160
   615     24  482    66     35  301    66
   372     25  577   120     44  322   114
   563     26  683    30    126  222    29
   277     27  439   139     30  304   139
    55     28  517    86     32  319    86
   174     29  614    85     28  379    85
  2137     30  941   106    108  359    86
    24     31  785   139     27  482   139
  2902     32  540   158     80  230   124
   140     33  802   320     33  473   320
   489     34  623    60     66  306    60
    30     35  820   493     13  578   439
   183     36  625   236     39  374   236
   157     37  657   152     15  477   152
   231     38  800    37    143  292    37
   165     39  496    99     31  321    99
   380     40  457   193     19  351   193
    60     41  499    47     99  199    42
   269     42  365   128     46  242   114
  1139     43  527   103     55  305   103
   186     44  524   308     38  352   308
  2158     45  391    93     65  209    93
  1972     46  328   161     41  238   161
  1783     47  440   119     49  287   119
   512     48  372    80     61  205    80
   220     49  908     3     72  442     1
    40     50  672   843     85  348   554
    27     51  579   440     34  375   331
    45     52  519    90     82  251    86
   407     53  378   111     68  216    98
   292     54  579   258     36  419   258
   357     55  423   422     48  294   294
   487     56  352   354     70  224   235
  2130     57  439    97    284  147    58
  2469     58  339    70     56  219    70
   703     59  433   124     63  274   121
   697     60  423   424    128  200   200
   734     61  369   162     26  313   162
  2510     62  820   313     91  410   243
   163     63  442    88     77  248    86
  2122     64  319   125    235  122    63
   149     65  401   140     40  298   140
   121     66  668    68     62  332    68
     0     67  636   139     54  371   139
   154     68  506   140     43  360   140
   294     69  491   120     57  320   120
    70     70  512   188     42  357   188
   199     71  441    56     53  295    56
    15     72  466   190     45  340   181
   322     73  464    23     64  281    21
   559     74  414    91    177  173    91
   344     75  425   210     47  337   210
