  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 1220   191
     3      2 1049  1163     13  547   551
   338      3  672   735     91  341   359
   102      4  695   937     40  325   308
   145      5 1496   873      2  864   512
  4251      6 1088   426      5  629   236
   308      7  856   646     30  458   321
  1644      8 1518   790      4  795   395
   952      9 1116  1625      7  607   745
   127     10  850   947     21  420   382
   172     11  986  1635     15  578   812
   894     12  408   404    282  204   197
  1882     13 1248   970      6  769   537
  1249     14 1195  1683     10  740   785
  2093     15 1190  1774      9  763   693
   619     16 1184   953      8  747   570
   353     17  812  1041     37  402   503
  2371     18  490   396    100  280   239
  1764     19  789  2414     46  491   954
  1351     20 1023  1071     22  581   631
   903     21 1126  1033     11  698   601
  1113     22  841  2175     43  471   803
   149     23  867   762     49  445   327
   396     24  638   792    104  306   341
   736     25  726   824     35  407   383
   138     26  537  1355    109  291   479
   165     27  610   547     56  314   304
  2376     28 1016  1362     23  667   648
   142     29  822   405     18  541   254
  2569     30 1037  1482     14  675   875
   957     31  983   772     20  650   490
  4709     32  814  1260     51  470   654
  1511     33  740  1581     59  448   802
  1164     34  736   480     66  399   256
   745     35  668   519     58  367   271
   131     36  633   873    118  335   290
  3878     37  769   953     29  498   575
   867     38  868  1000     25  503   536
   921     39  734   628     48  402   347
   907     40  819  1310     34  507   769
   960     41 1027  1300     16  670   858
 40820     42   75  1318      3   73  1318
   213     43  756  1364     12  529  1033
  3786     44  923   876     28  661   510
  1387     45  765   396     45  456   238
   519     46  817   670     26  517   390
   887     47  793  1209     44  469   669
  4972     48  894  1829     38  583   877
   302     49  775  1168     74  465   629
   155     50  797   828     27  516   453
    50     51  487   399    141  270   213
  3493     52  939   968     24  658   689
  1446     53  929   672     31  555   394
  1964     54  644   709    125  365   308
   924     55  714   861     55  417   461
  1558     56  931   399     32  598   262
   374     57  802  1103     36  502   614
   205     58  458  1527    166  273   582
  2871     59  856  1667     52  573  1009
   939     60  559   212    180  290   103
   203     61  717   771     53  455   437
  1659     62  590  1607    131  371   654
  3185     63  592   767    160  324   309
    80     64  711  1075     72  426   625
  2731     65  841   631     39  544   411
   830     66  595   502    105  325   236
   844     67  763   339     47  477   203
  4600     68  577   729    226  312   315
  3052     69  788  1248     80  520   695
  1298     70  732   723     57  444   352
   393     71  730   804     60  456   475
   816     72  736   671     68  443   371
   853     73  616   873     89  393   448
   500     74  624   627     50  381   349
  3996     75  614   501     95  368   309
  2207     76  666   900     85  452   503
   126     77  470   365    194  258   192
   101     78  366   118    299  201    56
  1055     79  628   930    152  349   461
  2775     80  667   971     77  430   536
  1431     81  825  1000     41  571   711
  1803     82  875  1482     42  594   903
  3823     83  512   814    173  333   370
  1514     84  686   392     65  407   232
  2245     85  571   275    101  338   150
  1694     86  760  1053     83  493   666
   892     87  420   362    158  237   168
  3915     88  477   472    248  252   225
    48     89  419   260    232  225   140
   116     90  435   278    216  237   125
  1105     91  481   770    154  302   461
  1030     92  737   853     78  454   432
  1188     93  664   683    112  408   308
  7438     94  674  2083    128  424   844
  2607     95  709  2502     88  464   979
  5004     97  655   539    130  415   361
    63     98  728  1269     73  488   630
  1450     99  793   548     63  516   336
  1557    100  645   981    107  401   573
