  node o_rank o_in o_out p_rank p_in p_out
  1317      2 1181    18      1 1070    18
  4960      3 1055    13      2  869    12
  6523      5  816    17      3  743    17
  4963      6  662     2      4  501     2
 11366     10  798     3      5  726     3
 25118     11  760     9      9  514     9
   953     13  624     6      6  419     5
  6538     14  592     9      8  462     8
 17388     16  544     3     18  455     1
  1898     17  814    18      7  774    18
 25119     22  659     8     13  466     7
   695     23  485     8     12  321     8
   699     24  537    14     11  356    14
  6540     26  684     3     14  482     3
  2941     28  655     6     10  600     6
  6541     31  592    27     21  343     2
 25115     34  603    21     15  530    21
 23655     40  360    14     23  279    14
  9218     45   57     4     20   57     4
 89979     47  563   274     16  563   274
 89976     48  562   288     17  562   288
  9217     49    8     2     22    8     2
  4587     51  404    11     30  293    11
   398     53  412     9     26  280     9
   697     55  437     6     25  350     6
 32817     63  417    17     43  237     0
 11815     64   16     3     24   16     3
 11830     68    8    11     27    8    11
 56543     75  273     3     36  211     2
  9562     77  316    10     37  259    10
 89972     79  560     2     28  560     2
 89974     80  560   288     29  560   288
  2756     83  176     5     35  146     5
  4980     86  113     5     31  108     5
  1831     87  270    12     47  141     7
 34695     89  208    13     33  206    13
  1370     94  160     6     32  160     6
  1255     96  251    11     40  209    11
 17394     98   18     3     19   16     2
 19048     99  212     7     34  198     7
 36905    100   63    20     38   63    20
