  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2709    44
   185      2 1317   372      2 1178   372
   529      3 1140    46      3 1061    46
   230      4 1284   102      4 1168   102
   114      5 1004   123      5  913   123
   132      6 1180   111      7 1084   111
   530      7 1521   171      6 1420   171
    36      8  817   238      8  793   238
  1960      9  784   123      9  702   123
  2136     10  708    38     22  545    38
   323     11 1166    85     10 1101    85
  1961     12  768   117     20  669   117
   124     13  848   101     11  810   101
    73     14  694   199     12  653   199
   540     15  625   139     19  551   139
   335     16  586   153     15  531   153
   173     17  694   274     13  640   274
   492     18  522    96     21  464    96
    23     19  894   334     14  822   334
   275     20  507   109     17  481   109
   542     21  497   226     23  462   226
   150     22  724   200     16  685   200
   131     23  632   188     18  597   188
   615     24  482    66     27  452    66
   372     25  577   120     37  484   120
   563     26  683    30     46  546    30
   277     27  439   139     28  418   139
    55     28  517    86     24  482    86
   174     29  614    85     29  558    85
  2137     30  941   106     31  890   106
    24     31  785   139     25  748   139
  2902     32  540   158     43  472   158
   140     33  802   320     34  755   320
   489     34  623    60     36  574    60
    30     35  820   493     26  792   493
   183     36  625   236     35  601   236
   157     37  657   152     30  639   152
   231     38  800    37     48  707    37
   165     39  496    99     33  469    99
   380     40  457   193     32  452   193
    60     41  499    47     60  423    47
   269     42  365   128     38  343   128
  1139     43  527   103     47  487   103
   186     44  524   308     40  490   308
  2158     45  391    93     50  353    93
  1972     46  328   161     52  308   161
  1783     47  440   119     44  414   119
   512     48  372    80     68  317    80
   220     49  908     3     42  877     3
    40     50  672   843     51  623   843
    27     51  579   440     41  559   440
    45     52  519    90     71  449    90
   407     53  378   111     54  348   111
   292     54  579   258     39  571   258
   357     55  423   422     45  423   422
   487     56  352   354     61  330   354
  2130     57  439    97     78  373    97
  2469     58  339    70     64  318    70
   703     59  433   124     56  422   124
   697     60  423   424     49  423   424
   734     61  369   162     53  365   162
  2510     62  820   313     55  795   313
   163     63  442    88     73  410    88
  2122     64  319   125     86  285   125
   149     65  401   140     62  382   140
   121     66  668    68     57  636    68
     0     67  636   139     63  594   139
   154     68  506   140     58  488   140
   294     69  491   120     72  464   120
    70     70  512   188     66  485   188
   199     71  441    56     67  421    56
    15     72  466   190     59  454   190
   322     73  464    23     74  428    23
   559     74  414    91    112  338    91
   344     75  425   210     65  418   210
