  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1  974    44
   185      2 1317   372      2  617   372
   529      3 1140    46      7  390    46
   230      4 1284   102     16  390   102
   114      5 1004   123      4  476   118
   132      6 1180   111      8  476   111
   530      7 1521   171     10  530   171
    36      8  817   238      3  513   207
  1960      9  784   123     20  309   117
  2136     10  708    38     93  151    32
   323     11 1166    85     18  531    85
  1961     12  768   117    134  211    83
   124     13  848   101     32  370    89
    73     14  694   199      6  398   199
   540     15  625   139     11  321   139
   335     16  586   153     19  307   142
   173     17  694   274     13  360   218
   492     18  522    96     22  273    87
    23     19  894   334     15  413   296
   275     20  507   109     27  304    98
   542     21  497   226     24  284   198
   150     22  724   200      5  459   191
   131     23  632   188      9  409   188
   615     24  482    66     43  253    60
   372     25  577   120     49  269   109
   563     26  683    30    109  184    29
   277     27  439   139     30  266   130
    55     28  517    86     37  257    82
   174     29  614    85     28  320    79
  2137     30  941   106    154  253    78
    24     31  785   139     26  402   132
  2902     32  540   158     66  211   114
   140     33  802   320     25  423   320
   489     34  623    60     65  247    58
    30     35  820   493     14  489   372
   183     36  625   236     29  353   236
   157     37  657   152     12  424   144
   231     38  800    37    163  232    33
   165     39  496    99     36  277    91
   380     40  457   193     21  323   174
    60     41  499    47    105  157    39
   269     42  365   128     42  217   107
  1139     43  527   103     52  277   103
   186     44  524   308     35  303   308
  2158     45  391    93     88  166    84
  1972     46  328   161     34  218   146
  1783     47  440   119     46  260   112
   512     48  372    80    100  151    67
   220     49  908     3     83  353     1
    40     50  672   843     17  382   843
    27     51  579   440     31  327   302
    45     52  519    90     79  212    84
   407     53  378   111     55  186    93
   292     54  579   258     33  369   236
   357     55  423   422     45  254   253
   487     56  352   354     84  166   207
  2130     57  439    97    202  109    58
  2469     58  339    70     60  192    63
   703     59  433   124     64  227   116
   697     60  423   424    193  155   155
   734     61  369   162     23  287   153
  2510     62  820   313     82  350   220
   163     63  442    88     86  208    84
  2122     64  319   125    263   79    49
   149     65  401   140     38  269   122
   121     66  668    68    104  260    43
     0     67  636   139     63  297   120
   154     68  506   140     44  304   130
   294     69  491   120     58  274   120
    70     70  512   188     41  307   174
   199     71  441    56     53  245    52
    15     72  466   190     39  311   176
   322     73  464    23     57  245    20
   559     74  414    91    213  133    77
   344     75  425   210     47  291   183
