  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28   3191    4     0
  1317      2 1181    18      9  163    18
  4960      3 1055    13      2  319    13
  1084      4 1243    49     14   91    49
  6523      5  816    17     58   50    17
  4963      6  662     2    807    8     2
   700      7  636     2    295    5     2
  3912      8  772     5     49   42     5
  6259      9  837     9     27   64     9
 11366     10  798     3    102   43     3
 25118     11  760     9     44   36     9
  3507     12  671    20      7  230    20
   953     13  624     6    138   32     6
  6538     14  592     9     17   57     9
   698     15  714    19      4  313    19
 17388     16  544     3     52   38     3
  1898     17  814    18    174   23     2
  1934     18  786    18     10  201    18
   799     19  746    10      1  641    10
  2436     20  632     0   1973    4     0
  6518     21  779    29      3  501    29
   695     23  485     8      6  210     8
   699     24  537    14     20   62    14
  6540     26  684     3   6931    3     3
  2941     28  655     6   4502    4     6
  8672     29  580    17     13   93    17
  4770     30  503    11    203   13    11
  6541     31  592    27     15  130    27
  6533     35  539     0   9095    2     0
  5648     37  441     7      8  255     7
  4969     38  504    17     95   51    17
  3786     39  407     5     51   50     5
 23655     40  360    14     26   62    14
    42     41  309    17    180    8     1
   233     42  327    12     72   33    12
  3265     43    6     2    734    2     2
 24415     44  365    13     28   71    13
  9218     45   57     4   2029    2     4
  5814     46  430    14      5  316    14
  9217     49    8     2   2028    2     2
 10143     50  479    16     11  234    16
  1232     52  463     1   2676    8     1
   398     53  412     9    119   31     9
   697     55  437     6     64   66     6
  4585     56  322    17     12  136    17
 12858     58    1     1   1028    1     1
 12859     59    1     3   1029    1     3
 12890     60  374    20    120   33    20
  6526     61  343     6   9266    1     0
  2099     62  394    10    479   18    10
 11815     64   16     3    310   13     3
  6527     65  333     1   9267    1     0
  6274     66  242     4     63   45     4
 17395     67  119     1    167   18     1
 11830     68    8    11    387    2     2
  6273     69  218     7     93   40     7
  4586     71  227     3    719   12     3
  3938     73  223     2    393    8     2
  3911     74  218     8    251   16     8
 56543     75  273     3    281   22     3
  9562     77  316    10    128   42    10
  5287     78   80     8   1860    2     1
  6535     82  316    10    134   29    10
  2756     83  176     5     21   58     5
 17393     84    2    10    279    2    10
  4980     86  113     5     22   56     5
  6520     90  289    10   9264    1     0
  6530     91  290     7    150   27     7
  7744     92  255    12     18  131    12
  6277     93  170     6    165   29     6
  1370     94  160     6     78   46     6
 17394     98   18     3    304    5     3
 19048     99  212     7   2254    4     2
