  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2757    44
   185      2 1317   372      2 1192   372
   529      3 1140    46      3 1067    46
   230      4 1284   102      4 1180   102
   114      5 1004   123      6  919   123
   132      6 1180   111      7 1090   111
   530      7 1521   171      5 1440   171
    36      8  817   238      8  795   238
  1960      9  784   123      9  710   123
  2136     10  708    38     22  560    38
   323     11 1166    85     10 1113    85
  1961     12  768   117     17  684   117
   124     13  848   101     11  817   101
    73     14  694   199     12  656   199
   540     15  625   139     18  555   139
   335     16  586   153     14  535   153
   173     17  694   274     13  643   274
   492     18  522    96     21  472    96
    23     19  894   334     15  825   334
   275     20  507   109     19  482   109
   542     21  497   226     23  467   226
   150     22  724   200     16  689   200
   131     23  632   188     20  600   188
   615     24  482    66     24  454    66
   372     25  577   120     37  494   120
   563     26  683    30     44  559    30
   277     27  439   139     28  419   139
    55     28  517    86     25  484    86
   174     29  614    85     31  561    85
  2137     30  941   106     29  896   106
    24     31  785   139     26  751   139
  2902     32  540   158     38  477   158
   140     33  802   320     34  759   320
   489     34  623    60     36  580    60
    30     35  820   493     27  793   493
   183     36  625   236     35  605   236
   157     37  657   152     30  640   152
   231     38  800    37     48  716    37
   165     39  496    99     33  470    99
   380     40  457   193     32  452   193
    60     41  499    47     57  428    47
   269     42  365   128     39  344   128
  1139     43  527   103     45  493   103
   186     44  524   308     41  494   308
  2158     45  391    93     49  359    93
  1972     46  328   161     51  309   161
  1783     47  440   119     46  415   119
   512     48  372    80     65  321    80
   220     49  908     3     40  884     3
    40     50  672   843     53  626   843
    27     51  579   440     43  561   440
    45     52  519    90     69  455    90
   407     53  378   111     52  354   111
   292     54  579   258     42  571   258
   357     55  423   422     47  423   422
   487     56  352   354     59  332   354
  2130     57  439    97     75  382    97
  2469     58  339    70     63  321    70
   703     59  433   124     55  424   124
   697     60  423   424     50  423   424
   734     61  369   162     54  365   162
  2510     62  820   313     56  798   313
   163     63  442    88     73  413    88
  2122     64  319   125     81  291   125
   149     65  401   140     62  384   140
   121     66  668    68     58  638    68
     0     67  636   139     64  597   139
   154     68  506   140     60  489   140
   294     69  491   120     72  466   120
    70     70  512   188     66  486   188
   199     71  441    56     68  424    56
    15     72  466   190     61  455   190
   322     73  464    23     74  432    23
   559     74  414    91    104  346    91
   344     75  425   210     67  418   210
