  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 2122   290
     3      2 1049  1163      2 1021  1132
   338      3  672   735      4  623   673
   102      4  695   937      3  679   909
   145      5 1496   873      5 1451   850
  4251      6 1088   426      6 1055   410
   308      7  856   646      7  829   627
  1644      8 1518   790      9 1383   734
   952      9 1116  1625      8 1062  1522
   127     10  850   947     10  832   912
   172     11  986  1635     12  942  1538
   894     12  408   404     21  377   372
  1882     13 1248   970     11 1211   936
  1249     14 1195  1683     13 1126  1503
  2093     15 1190  1774     18 1115  1529
   619     16 1184   953     14 1136   916
   353     17  812  1041     16  777   994
  2371     18  490   396     37  442   357
  1764     19  789  2414     51  713  1934
  1351     20 1023  1071     15  999  1049
   903     21 1126  1033     17 1095   996
  1113     22  841  2175     32  771  1870
   149     23  867   762     19  826   718
   396     24  638   792     25  611   750
   736     25  726   824     20  705   793
   138     26  537  1355     39  508  1197
   165     27  610   547     22  595   538
  2376     28 1016  1362     30  959  1238
   142     29  822   405     24  803   397
  2569     30 1037  1482     27 1003  1404
   957     31  983   772     23  955   743
  4709     32  814  1260     28  790  1189
  1511     33  740  1581     47  691  1418
  1164     34  736   480     29  718   466
   745     35  668   519     26  651   510
   131     36  633   873     34  620   821
  3878     37  769   953     44  728   906
   867     38  868  1000     38  813   935
   921     39  734   628     33  717   607
   907     40  819  1310     36  794  1250
   960     41 1027  1300     31  998  1264
   213     43  756  1364     46  719  1258
  3786     44  923   876     41  904   837
  1387     45  765   396     42  746   388
   519     46  817   670     40  797   649
   887     47  793  1209     35  785  1180
  4972     48  894  1829     56  836  1629
   302     49  775  1168     64  731  1066
   155     50  797   828     45  777   799
    50     51  487   399     49  475   390
  3493     52  939   968     52  917   937
  1446     53  929   672     43  905   642
  1964     54  644   709     61  616   640
   924     55  714   861     53  688   824
  1558     56  931   399     55  881   391
   374     57  802  1103     48  787  1076
   205     58  458  1527     68  436  1418
  2871     59  856  1667     75  801  1507
   939     60  559   212     65  540   204
   203     61  717   771     50  699   741
  1659     62  590  1607     81  550  1370
  3185     63  592   767     62  573   718
    80     64  711  1075     57  685  1028
  2731     65  841   631     67  813   610
   830     66  595   502     60  577   465
   844     67  763   339     54  744   325
  4600     68  577   729     87  549   665
  3052     69  788  1248     76  742  1131
  1298     70  732   723     63  707   672
   393     71  730   804     69  705   770
   816     72  736   671     58  723   661
   853     73  616   873     66  600   813
   500     74  624   627     59  617   617
  3996     75  614   501     73  601   489
  2207     76  666   900     70  641   833
   126     77  470   365     80  457   354
   101     78  366   118     86  358   115
  1055     79  628   930     83  597   861
  2775     80  667   971     77  632   906
  1431     81  825  1000     72  800   971
  1803     82  875  1482     74  841  1373
  3823     83  512   814    120  475   696
  1514     84  686   392     78  642   372
  2245     85  571   275     99  532   260
  1694     86  760  1053     71  745  1000
   892     87  420   362     94  403   337
  3915     88  477   472    108  447   433
    48     89  419   260     89  404   254
   116     90  435   278     82  428   266
  1105     91  481   770    100  463   730
  1030     92  737   853     90  716   814
  1188     93  664   683     79  650   619
  7438     94  674  2083    107  633  1762
  2607     95  709  2502     95  667  2150
   493     96  432   425    114  418   406
  5004     97  655   539    123  627   513
    63     98  728  1269     91  709  1200
  1450     99  793   548     85  773   533
  1557    100  645   981    109  614   912
