  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 2230   291
     3      2 1049  1163      2 1047  1154
   338      3  672   735      3  667   727
   102      4  695   937      4  695   934
   145      5 1496   873      5 1495   871
  4251      6 1088   426      6 1088   425
   308      7  856   646      8  856   646
  1644      8 1518   790      7 1491   785
   952      9 1116  1625      9 1108  1611
   127     10  850   947     10  850   942
   172     11  986  1635     12  981  1623
   894     12  408   404     20  407   401
  1882     13 1248   970     11 1247   966
  1249     14 1195  1683     13 1187  1663
  2093     15 1190  1774     18 1184  1739
   619     16 1184   953     14 1181   946
   353     17  812  1041     15  812  1038
  2371     18  490   396     22  485   385
  1764     19  789  2414     35  777  2255
  1351     20 1023  1071     17 1022  1069
   903     21 1126  1033     16 1125  1030
  1113     22  841  2175     23  832  2124
   149     23  867   762     19  866   759
   396     24  638   792     25  635   788
   736     25  726   824     21  726   819
   138     26  537  1355     36  534  1325
   165     27  610   547     24  609   547
  2376     28 1016  1362     29 1013  1345
   142     29  822   405     26  822   404
  2569     30 1037  1482     28 1033  1478
   957     31  983   772     27  978   768
  4709     32  814  1260     30  813  1241
  1511     33  740  1581     46  736  1555
  1164     34  736   480     32  736   480
   745     35  668   519     31  667   518
   131     36  633   873     43  631   866
  3878     37  769   953     38  765   952
   867     38  868  1000     34  868   995
   921     39  734   628     42  733   627
   907     40  819  1310     37  814  1304
   960     41 1027  1300     33 1024  1296
   213     43  756  1364     40  754  1351
  3786     44  923   876     47  920   874
  1387     45  765   396     44  765   394
   519     46  817   670     41  814   668
   887     47  793  1209     39  792  1204
  4972     48  894  1829     50  890  1786
   302     49  775  1168     53  773  1159
   155     50  797   828     48  795   827
    50     51  487   399     52  487   398
  3493     52  939   968     51  937   960
  1446     53  929   672     45  928   669
  1964     54  644   709     62  643   694
   924     55  714   861     55  709   846
  1558     56  931   399     54  919   397
   374     57  802  1103     49  801  1102
   205     58  458  1527     74  455  1513
  2871     59  856  1667     68  853  1634
   939     60  559   212     67  558   211
   203     61  717   771     57  716   768
  1659     62  590  1607     75  590  1583
  3185     63  592   767     61  592   763
    80     64  711  1075     63  707  1066
  2731     65  841   631     59  839   630
   830     66  595   502     65  595   496
   844     67  763   339     56  761   338
  4600     68  577   729     76  577   720
  3052     69  788  1248     71  786  1225
  1298     70  732   723     58  730   679
   393     71  730   804     72  728   801
   816     72  736   671     60  736   671
   853     73  616   873     66  616   866
   500     74  624   627     64  623   627
  3996     75  614   501     69  612   500
  2207     76  666   900     80  662   880
   126     77  470   365     82  469   363
   101     78  366   118     88  366   118
  1055     79  628   930     81  625   923
  2775     80  667   971     70  663   962
  1431     81  825  1000     73  825   997
  1803     82  875  1482     77  872  1463
  3823     83  512   814    138  505   772
  1514     84  686   392     78  678   387
  2245     85  571   275     84  568   273
  1694     86  760  1053     83  758  1045
   892     87  420   362     96  418   358
  3915     88  477   472     92  475   467
    48     89  419   260     97  419   260
   116     90  435   278     90  435   273
  1105     91  481   770     95  480   769
  1030     92  737   853     79  736   849
  1188     93  664   683     86  662   676
  7438     94  674  2083     94  673  2030
  2607     95  709  2502    101  701  2448
   493     96  432   425    107  432   424
  5004     97  655   539     98  654   537
    63     98  728  1269     87  726  1248
  1450     99  793   548     85  793   548
  1557    100  645   981    102  645   978
