  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 1696   248
     3      2 1049  1163     19  716   707
   338      3  672   735    127  420   428
   102      4  695   937     52  470   429
   145      5 1496   873      2 1257   694
  4251      6 1088   426      8  839   321
   308      7  856   646     21  634   459
  1644      8 1518   790      3 1060   484
   952      9 1116  1625      7  837   971
   127     10  850   947     18  609   545
   172     11  986  1635     14  780  1066
   894     12  408   404    316  262   242
  1882     13 1248   970      4 1007   711
  1249     14 1195  1683      9  912   925
  2093     15 1190  1774     12  950   591
   619     16 1184   953      6  980   716
   353     17  812  1041     22  586   684
  2371     18  490   396    226  321   260
  1764     19  789  2414     86  588   624
  1351     20 1023  1071     11  845   870
   903     21 1126  1033      5  958   832
  1113     22  841  2175     47  606   801
   149     23  867   762     31  653   471
   396     24  638   792     79  445   487
   736     25  726   824     25  583   544
   138     26  537  1355    161  373   435
   165     27  610   547     54  455   447
  2376     28 1016  1362     23  815   787
   142     29  822   405     24  697   322
  2569     30 1037  1482     15  863  1103
   957     31  983   772     13  832   595
  4709     32  814  1260     44  604   786
  1511     33  740  1581     73  548   858
  1164     34  736   480     51  570   340
   745     35  668   519     50  512   393
   131     36  633   873     84  491   451
  3878     37  769   953     68  589   705
   867     38  868  1000     30  663   680
   921     39  734   628     53  554   471
   907     40  819  1310     32  662   970
   960     41 1027  1300     10  900  1109
   213     43  756  1364     63  561   757
  3786     44  923   876     27  805   623
  1387     45  765   396     33  647   332
   519     46  817   670     17  687   533
   887     47  793  1209     29  666   944
  4972     48  894  1829     41  702   899
   302     49  775  1168     77  585   760
   155     50  797   828     28  676   619
    50     51  487   399    112  383   295
  3493     52  939   968     20  834   818
  1446     53  929   672     16  795   510
  1964     54  644   709    126  469   382
   924     55  714   861     57  568   626
  1558     56  931   399     35  741   325
   374     57  802  1103     26  692   856
   205     58  458  1527    232  331   758
  2871     59  856  1667     56  692  1021
   939     60  559   212    128  419   148
   203     61  717   771     55  595   572
  1659     62  590  1607    170  441   544
  3185     63  592   767    122  444   432
    80     64  711  1075     59  554   797
  2731     65  841   631     36  710   513
   830     66  595   502     92  458   273
   844     67  763   339     34  651   270
  4600     68  577   729    144  453   368
  3052     69  788  1248     67  630   785
  1298     70  732   723     45  594   424
   393     71  730   804     43  603   600
   816     72  736   671     38  630   533
   853     73  616   873     71  515   565
   500     74  624   627     46  524   476
  3996     75  614   501    101  479   370
  2207     76  666   900     99  532   572
   126     77  470   365    183  344   239
   101     78  366   118    318  265    79
  1055     79  628   930    123  478   579
  2775     80  667   971     66  545   649
  1431     81  825  1000     39  711   852
  1803     82  875  1482     40  738  1052
  3823     83  512   814    246  384   338
  1514     84  686   392     76  516   260
  2245     85  571   275    148  411   190
  1694     86  760  1053     74  617   774
   892     87  420   362    228  296   213
  3915     88  477   472    250  331   290
    48     89  419   260    241  300   181
   116     90  435   278    222  323   175
  1105     91  481   770    186  386   590
  1030     92  737   853     49  633   595
  1188     93  664   683     82  542   375
  7438     94  674  2083    124  512   674
  2607     95  709  2502     96  558   824
   493     96  432   425    281  310   270
  5004     97  655   539    111  536   409
    63     98  728  1269     75  599   734
  1450     99  793   548     37  695   466
  1557    100  645   981    113  511   630
