  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 1077    38
   185      2 1317   372      2  645   307
   529      3 1140    46     16  415    45
   230      4 1284   102     29  431    94
   114      5 1004   123      5  540   123
   132      6 1180   111      7  530   107
   530      7 1521   171     17  572   124
    36      8  817   238      4  579   238
  1960      9  784   123     26  370   116
  2136     10  708    38    294  145    23
   323     11 1166    85     24  589    75
  1961     12  768   117    155  226    78
   124     13  848   101     19  419   101
    73     14  694   199      9  430   199
   540     15  625   139     22  313   111
   335     16  586   153     15  351   153
   173     17  694   274     13  386   232
   492     18  522    96     36  276    79
    23     19  894   334      8  524   334
   275     20  507   109     25  328   104
   542     21  497   226     28  303   202
   150     22  724   200      6  549   200
   131     23  632   188     11  437   188
   615     24  482    66     44  266    63
   372     25  577   120     42  311   112
   563     26  683    30    181  183    28
   277     27  439   139     32  289   139
    55     28  517    86     37  286    84
   174     29  614    85     21  385    82
  2137     30  941   106    139  310    88
    24     31  785   139     27  449   139
  2902     32  540   158     87  213   110
   140     33  802   320     30  466   320
   489     34  623    60     82  264    60
    30     35  820   493     12  589   445
   183     36  625   236     45  340   200
   157     37  657   152     10  509   152
   231     38  800    37    184  275    32
   165     39  496    99     34  312    92
   380     40  457   193     20  334   177
    60     41  499    47    145  172    37
   269     42  365   128     49  221   102
  1139     43  527   103     61  295    90
   186     44  524   308     55  301   251
  2158     45  391    93     92  184    83
  1972     46  328   161     51  209   133
  1783     47  440   119     53  275   110
   512     48  372    80     98  184    67
   220     49  908     3     68  450     1
    40     50  672   843     94  337   514
    27     51  579   440     18  416   364
    45     52  519    90    101  221    80
   407     53  378   111     71  207    92
   292     54  579   258     33  419   248
   357     55  423   422     47  276   276
   487     56  352   354    118  177   201
  2130     57  439    97    357  123    48
  2469     58  339    70     73  188    63
   703     59  433   124     63  270   124
   697     60  423   424      3  423   424
   734     61  369   162     23  305   158
  2510     62  820   313     76  415   239
   163     63  442    88     90  235    86
  2122     64  319   125    436   83    43
   149     65  401   140     43  281   122
   121     66  668    68     50  335    68
     0     67  636   139     52  382   131
   154     68  506   140     40  352   140
   294     69  491   120     75  285   117
    70     70  512   188     35  371   188
   199     71  441    56     56  278    56
    15     72  466   190     38  353   190
   322     73  464    23     59  288    22
   559     74  414    91    267  145    72
   344     75  425   210     41  337   210
