  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2303    43
   185      2 1317   372      2 1051   360
   529      3 1140    46      5  898    46
   230      4 1284   102      7 1004   102
   114      5 1004   123      3  844   123
   132      6 1180   111      6  979   111
   530      7 1521   171      8 1195   139
    36      8  817   238      4  759   236
  1960      9  784   123     12  631   122
  2136     10  708    38     64  430    37
   323     11 1166    85     11 1022    84
  1961     12  768   117     48  581   106
   124     13  848   101     19  765    97
    73     14  694   199     17  599   188
   540     15  625   139     15  505   135
   335     16  586   153     20  487   151
   173     17  694   274     13  578   264
   492     18  522    96     22  429    94
    23     19  894   334     10  765   333
   275     20  507   109     21  456   109
   542     21  497   226     26  433   218
   150     22  724   200      9  677   200
   131     23  632   188     18  564   184
   615     24  482    66     30  424    65
   372     25  577   120     37  453   119
   563     26  683    30     70  468    30
   277     27  439   139     27  398   138
    55     28  517    86     36  399    84
   174     29  614    85     25  520    84
  2137     30  941   106     58  759   101
    24     31  785   139     23  688   138
  2902     32  540   158     60  390   150
   140     33  802   320     28  719   318
   489     34  623    60     51  510    60
    30     35  820   493     14  776   490
   183     36  625   236     32  573   235
   157     37  657   152     16  630   152
   231     38  800    37     75  622    36
   165     39  496    99     31  444    97
   380     40  457   193     24  440   191
    60     41  499    47     71  375    47
   269     42  365   128     40  325   121
  1139     43  527   103     52  456   101
   186     44  524   308     47  456   295
  2158     45  391    93     50  327    92
  1972     46  328   161     41  298   160
  1783     47  440   119     46  390   118
   512     48  372    80     91  271    76
   220     49  908     3     33  849     3
    40     50  672   843     72  558   732
    27     51  579   440     29  532   429
    45     52  519    90     69  409    90
   407     53  378   111     59  317   107
   292     54  579   258     35  554   256
   357     55  423   422     43  386   385
   487     56  352   354     78  298   300
  2130     57  439    97    140  315    88
  2469     58  339    70     66  290    69
   703     59  433   124     54  398   124
   697     60  423   424    127  331   331
   734     61  369   162     34  361   161
  2510     62  820   313     61  731   296
   163     63  442    88     77  369    87
  2122     64  319   125    160  236    94
   149     65  401   140     45  372   133
   121     66  668    68     67  577    57
     0     67  636   139     49  566   138
   154     68  506   140     44  457   140
   294     69  491   120     62  442   120
    70     70  512   188     39  463   188
   199     71  441    56     56  405    55
    15     72  466   190     42  452   189
   322     73  464    23     57  416    23
   559     74  414    91    174  284    89
   344     75  425   210     53  408   208
