  node o_rank o_in o_out p_rank p_in p_out
  1317      2 1181    18      3  931    13
  4960      3 1055    13      4  780    13
  1084      4 1243    49      2 1002    39
  6523      5  816    17      1  698    17
  3912      8  772     5     13  466     4
  6259      9  837     9      6  779     9
 11366     10  798     3      5  711     2
 25118     11  760     9      7  537     6
   953     13  624     6      9  340     2
  6538     14  592     9     10  451     9
 17388     16  544     3     14  321     3
  1934     18  786    18     11  722    18
   799     19  746    10     21  475     9
  2436     20  632     0     26  474     0
  6518     21  779    29      8  741    29
 25119     22  659     8     16  434     7
 25121     25  704     0     18  595     0
  8672     29  580    17     12  535    17
  6541     31  592    27     17  427     8
 25115     34  603    21     19  571    21
  6533     35  539     0     29  459     0
 25116     36  471    12     23  435    12
 23655     40  360    14     27  294    14
   233     42  327    12     31  269    12
  3265     43    6     2   1214    3     2
 24415     44  365    13     32  300    13
  5814     46  430    14     22  375     4
 89979     47  563   274     24  563   274
 89976     48  562   288     25  562   288
 10143     50  479    16     28  461    16
 27211     54  211     3     20  211     3
   697     55  437     6     35  336     6
 12890     60  374    20     30  340    19
  6526     61  343     6     71  199     0
  2099     62  394    10     41  316    10
 11815     64   16     3     15   16     2
  6274     66  242     4     33  241     4
 17395     67  119     1     44  101     1
  6273     69  218     7     34  217     7
  4586     71  227     3     39  214     3
  3911     74  218     8     40  217     8
 56543     75  273     3     49  245     2
  5287     78   80     8    106   74     8
 89972     79  560     2     37  560     2
 89974     80  560   288     38  560   288
 17393     84    2    10     36    2    10
 30647     85  260     4     45  244     4
  4980     86  113     5     52   95     5
  6530     91  290     7     64  198     7
  6277     93  170     6     47  169     6
  1370     94  160     6     46  159     6
 17394     98   18     3     56   14     1
 36905    100   63    20     48   62    19
