  node o_rank o_in o_out p_rank p_in p_out
  1084      4 1243    49      2  462     6
 25118     11  760     9      1  329     8
   799     19  746    10      6  264     1
   699     24  537    14      3  234    13
  6533     35  539     0     19  196     0
  3265     43    6     2      5    3     2
 24415     44  365    13      9  220    12
  4587     51  404    11     11  246    11
  1232     52  463     1     15  196     1
  2099     62  394    10     23  154     0
  7786     70  302    24      4  270    22
  5287     78   80     8      7   69     2
  1831     87  270    12     22  184     6
  7744     92  255    12     18  167    11
