  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28      1  978    24
 17388     16  544     3      2  486     3
 25121     25  704     0     11  273     0
  4597     27  657    25      3  643    24
  6541     31  592    27      7  464    27
  4613     32  679     5      4  665     5
  4590     33  634     5      5  623     5
 23655     40  360    14      8  252    13
   233     42  327    12     16  127    10
 27211     54  211     3      6  210     3
 12890     60  374    20     15  154     5
 17395     67  119     1      9   98     1
  9562     77  316    10     19  105     4
 17393     84    2    10     10    2    10
 17394     98   18     3     13   16     3
