  node o_rank o_in o_out p_rank p_in p_out
  4960      3 1055    13      4  477    11
   700      7  636     2      7  186     2
   698     15  714    19      6  291    17
  2436     20  632     0      8  311     0
   695     23  485     8      5  343     7
 26085     57  485    15      1  363     2
 12858     58    1     1     16    1     1
 12859     59    1     3     17    1     3
  6527     65  333     1     10  238     1
  4586     71  227     3      9  156     3
 61847     72  406    15      2  317     2
  3938     73  223     2     34  192     0
 61849     81  402    15      3  316     2
  6535     82  316    10     15  170     9
  4980     86  113     5     13   79     5
 16422     88    1     1     12    1     1
  1370     94  160     6     18   92     6
 16423     95    2     4     14    1     2
