  node o_rank o_in o_out p_rank p_in p_out
  1084      4 1243    49      4  449     9
  6523      5  816    17      1  540    15
  6259      9  837     9      2  651     9
 11366     10  798     3      3  495     3
  6540     26  684     3     14  286     0
 23655     40  360    14      9  204    14
 11815     64   16     3     10   16     3
  6274     66  242     4      6  219     4
 11830     68    8    11     11    7    11
  6273     69  218     7      8  217     7
  1831     87  270    12     19  167    12
  6520     90  289    10      5  145     1
  6277     93  170     6     12  157     6
 16423     95    2     4   8721    1     1
