  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28     12  247    28
  1317      2 1181    18      2  549    18
  4960      3 1055    13     13  185    13
  1084      4 1243    49      3  554    49
  6523      5  816    17      7  264    17
  4963      6  662     2    119   34     2
   700      7  636     2   1450   19     0
  3912      8  772     5   1181   11     1
  6259      9  837     9   4410    7     0
 11366     10  798     3     14  230     3
 25118     11  760     9   4752    6     0
  3507     12  671    20    470   18    20
   953     13  624     6     16  182     6
  6538     14  592     9      6  306     9
   698     15  714    19     21  111    19
 17388     16  544     3   5040    3     0
  1898     17  814    18      5  547    18
  1934     18  786    18  11833    4     0
   799     19  746    10      9  311    10
  2436     20  632     0    445   38     0
  6518     21  779    29      1  705    29
 25119     22  659     8    972   35     0
   695     23  485     8  16021    1     0
   699     24  537    14   3989   10     0
 25121     25  704     0   3003    4     0
  6540     26  684     3     25  142     3
  4597     27  657    25     33  127    25
  2941     28  655     6     20  212     6
  8672     29  580    17   6315    2     0
  4770     30  503    11     58   59    11
  6541     31  592    27      8  337    27
  4613     32  679     5     45  131     5
  4590     33  634     5     49  120     5
 25115     34  603    21  15980    1     0
  6533     35  539     0  13427    3     0
 25116     36  471    12    335   31    12
  5648     37  441     7     43   87     7
  4969     38  504    17     50  116    17
  3786     39  407     5     18  197     5
 23655     40  360    14  14371    4     0
    42     41  309    17     94   33    17
   233     42  327    12    884   10     2
  3265     43    6     2    674    4     2
 24415     44  365    13     54   72    13
  9218     45   57     4    461    4     4
  5814     46  430    14     11  279    14
  9217     49    8     2    499    3     2
 10143     50  479    16     10  366    16
  4587     51  404    11    562   50    11
  1232     52  463     1   2038   10     1
   398     53  412     9   6220    6     0
 27211     54  211     3      4  211     3
   697     55  437     6  16022    1     0
  4585     56  322    17     17  201    17
 26085     57  485    15  15974    1     0
 12890     60  374    20   8156    4     1
  6526     61  343     6     48   87     6
  2099     62  394    10     15  255    10
 32817     63  417    17   1741   18     0
 11815     64   16     3     51   16     3
  6527     65  333     1   1669   13     1
 11830     68    8    11     55    3    11
  4586     71  227     3    599   25     3
  3911     74  218     8    665    9     8
  9562     77  316    10    733   14    10
  5287     78   80     8    195   13     8
  6535     82  316    10     24  158    10
  2756     83  176     5     22   99     5
 30647     85  260     4   3930   12     1
  4980     86  113     5    126   31     5
  1831     87  270    12   3387    7     0
 16422     88    1     1   1772    1     1
  6520     90  289    10     19  227    10
  6530     91  290     7     42  135     7
  7744     92  255    12   3851    7     0
  1370     94  160     6     32   71     6
 16423     95    2     4   1842    1     4
  1255     96  251    11   2484   13     0
    59     97  143     4    502   12     2
