  node o_rank o_in o_out p_rank p_in p_out
     3      2 1049  1163     14  185   191
   338      3  672   735    109   97    97
   145      5 1496   873      2  247   151
   308      7  856   646     29  132    82
  1644      8 1518   790      5  225   129
   952      9 1116  1625      9  205   215
   894     12  408   404    243   58    44
  1882     13 1248   970     10  226   176
  1249     14 1195  1683     13  211   182
  2093     15 1190  1774      7  248   107
   619     16 1184   953      3  238   192
  2371     18  490   396    298   58    59
  1764     19  789  2414     80  133   117
   903     21 1126  1033      8  224   197
  1113     22  841  2175     48  155   124
   149     23  867   762     39  150   100
  2376     28 1016  1362     24  197   174
   142     29  822   405     41  157    63
  2569     30 1037  1482     17  209   250
   957     31  983   772      6  226   189
  4709     32  814  1260     62  148   171
  1511     33  740  1581      1  497   811
  3878     37  769   953     58  148   191
   867     38  868  1000     34  152   150
   960     41 1027  1300     11  223   267
   213     43  756  1364     49  139   149
   887     47  793  1209     25  164   213
  4972     48  894  1829     43  169   209
   302     49  775  1168    101  114   146
   155     50  797   828     12  200   149
  3493     52  939   968      4  239   269
  1964     54  644   709     94  126    91
  1558     56  931   399     21  205   107
  1659     62  590  1607    116  118   117
    80     64  711  1075     40  149   194
   844     67  763   339     42  153    70
  4600     68  577   729    127   99    81
  3052     69  788  1248     31  182   208
   393     71  730   804     18  182   175
   853     73  616   873     47  149   145
  2207     76  666   900     45  151   152
   126     77  470   365    190   70    45
  2775     80  667   971     52  153   169
  1431     81  825  1000     22  200   230
  1803     82  875  1482     33  181   213
  3823     83  512   814    183   90    76
  2245     85  571   275     83  127    63
  3915     88  477   472    106   92    80
  1105     91  481   770     96  100   143
  7438     94  674  2083     72  141   136
  2607     95  709  2502     91  128   147
    63     98  728  1269     27  183   149
  1450     99  793   548     30  179   126
  1557    100  645   981     78  138   164
