  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 2228   291
     3      2 1049  1163      2 1048  1156
   338      3  672   735      3  668   727
   102      4  695   937      4  695   933
   145      5 1496   873      5 1495   870
  4251      6 1088   426      6 1088   425
   308      7  856   646      7  856   646
  1644      8 1518   790      8 1486   783
   952      9 1116  1625      9 1110  1609
   127     10  850   947     10  850   942
   172     11  986  1635     12  980  1624
   894     12  408   404     21  406   402
  1882     13 1248   970     11 1246   964
  1249     14 1195  1683     13 1189  1664
  2093     15 1190  1774     18 1185  1735
   619     16 1184   953     14 1180   942
   353     17  812  1041     15  812  1039
  2371     18  490   396     22  486   388
  1764     19  789  2414     40  774  2268
  1351     20 1023  1071     16 1023  1070
   903     21 1126  1033     17 1124  1030
  1113     22  841  2175     23  835  2130
   149     23  867   762     19  867   762
   396     24  638   792     25  636   789
   736     25  726   824     20  726   819
   138     26  537  1355     34  534  1325
   165     27  610   547     24  609   547
  2376     28 1016  1362     29 1012  1345
   142     29  822   405     26  821   404
  2569     30 1037  1482     27 1033  1478
   957     31  983   772     28  980   770
  4709     32  814  1260     30  813  1244
  1511     33  740  1581     45  736  1557
  1164     34  736   480     32  735   480
   745     35  668   519     31  667   518
   131     36  633   873     41  632   865
  3878     37  769   953     37  765   951
   867     38  868  1000     35  865   993
   921     39  734   628     43  732   626
   907     40  819  1310     36  814  1304
   960     41 1027  1300     33 1024  1296
   213     43  756  1364     39  755  1351
  3786     44  923   876     47  919   873
  1387     45  765   396     44  765   394
   519     46  817   670     42  814   668
   887     47  793  1209     38  791  1204
  4972     48  894  1829     51  889  1782
   302     49  775  1168     53  773  1161
   155     50  797   828     48  795   825
    50     51  487   399     52  487   398
  3493     52  939   968     50  938   960
  1446     53  929   672     46  929   670
  1964     54  644   709     62  643   695
   924     55  714   861     55  709   846
  1558     56  931   399     54  921   396
   374     57  802  1103     49  801  1102
   205     58  458  1527     76  456  1516
  2871     59  856  1667     71  850  1630
   939     60  559   212     67  558   211
   203     61  717   771     57  716   768
  1659     62  590  1607     74  590  1579
  3185     63  592   767     61  591   764
    80     64  711  1075     63  706  1067
  2731     65  841   631     59  838   629
   830     66  595   502     65  595   491
   844     67  763   339     56  762   339
  4600     68  577   729     82  576   718
  3052     69  788  1248     70  785  1224
  1298     70  732   723     58  731   681
   393     71  730   804     73  727   800
   816     72  736   671     60  736   671
   853     73  616   873     66  616   866
   500     74  624   627     64  623   627
  3996     75  614   501     68  612   500
  2207     76  666   900     81  661   884
   126     77  470   365     79  470   364
   101     78  366   118     88  366   118
  1055     79  628   930     83  623   919
  2775     80  667   971     69  663   964
  1431     81  825  1000     72  825   998
  1803     82  875  1482     75  874  1464
  3823     83  512   814    126  507   772
  1514     84  686   392     77  680   387
  2245     85  571   275     85  567   274
  1694     86  760  1053     80  759  1048
   892     87  420   362     97  418   356
  3915     88  477   472     94  474   468
    48     89  419   260     98  419   258
   116     90  435   278     89  435   275
  1105     91  481   770     91  480   769
  1030     92  737   853     78  735   848
  1188     93  664   683     86  662   675
  7438     94  674  2083     95  672  2016
  2607     95  709  2502     96  701  2444
   493     96  432   425    106  432   423
  5004     97  655   539    102  655   531
    63     98  728  1269     92  725  1244
  1450     99  793   548     84  793   548
  1557    100  645   981    101  645   978
