  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 1758   260
     3      2 1049  1163      8  779   842
   338      3  672   735     61  449   476
   102      4  695   937     10  556   648
   145      5 1496   873      2 1288   770
  4251      6 1088   426      4  917   426
   308      7  856   646      3  757   646
  1644      8 1518   790      7 1103   610
   952      9 1116  1625      6  895  1170
   127     10  850   947     14  684   718
   172     11  986  1635      5  881  1635
   894     12  408   404    207  284   287
  1882     13 1248   970     13 1021   789
  1249     14 1195  1683     23  881  1126
  2093     15 1190  1774     28  929  1141
   619     16 1184   953      9 1001   798
   353     17  812  1041     17  665   829
  2371     18  490   396    204  309   247
  1764     19  789  2414    121  547  1181
  1351     20 1023  1071     12  887   958
   903     21 1126  1033     15  983   918
  1113     22  841  2175     64  605  1189
   149     23  867   762     11  755   762
   396     24  638   792     36  505   592
   736     25  726   824     18  634   692
   138     26  537  1355     82  406   852
   165     27  610   547     21  539   547
  2376     28 1016  1362     43  787   926
   142     29  822   405     27  708   351
  2569     30 1037  1482     33  835  1167
   957     31  983   772     20  847   650
  4709     32  814  1260     44  617   887
  1511     33  740  1581     70  572  1121
  1164     34  736   480     22  659   480
   745     35  668   519     24  571   447
   131     36  633   873     40  537   597
  3878     37  769   953     62  619   761
   867     38  868  1000     39  665   767
   921     39  734   628     48  575   518
   907     40  819  1310     37  680  1073
   960     41 1027  1300     25  873  1142
 40820     42   75  1318   3245   18    51
   213     43  756  1364     51  594   957
  3786     44  923   876     50  797   683
  1387     45  765   396     34  672   358
   519     46  817   670     31  695   563
   887     47  793  1209     16  748  1209
  4972     48  894  1829     71  682  1167
   302     49  775  1168    108  547   779
   155     50  797   828     19  746   828
    50     51  487   399     66  418   334
  3493     52  939   968     42  815   863
  1446     53  929   672     29  795   567
  1964     54  644   709     96  483   452
   924     55  714   861     55  569   661
  1558     56  931   399     53  743   355
   374     57  802  1103     35  711   939
   205     58  458  1527    145  355   989
  2871     59  856  1667     95  650  1162
   939     60  559   212     88  450   166
   203     61  717   771     52  606   657
  1659     62  590  1607    177  448   918
  3185     63  592   767    103  455   521
    80     64  711  1075     56  572   849
  2731     65  841   631     59  687   527
   830     66  595   502     41  520   502
   844     67  763   339     38  660   298
  4600     68  577   729    100  468   553
  3052     69  788  1248     84  621   922
  1298     70  732   723     46  617   516
   393     71  730   804     67  606   663
   816     72  736   671     26  678   671
   853     73  616   873     69  521   677
   500     74  624   627     45  551   544
  3996     75  614   501     90  495   392
  2207     76  666   900     30  617   900
   126     77  470   365    136  372   276
   101     78  366   118    181  291   100
  1055     79  628   930     32  582   930
  2775     80  667   971     86  545   747
  1431     81  825  1000     63  697   871
  1803     82  875  1482     74  690  1076
  3823     83  512   814    297  369   455
  1514     84  686   392     83  534   314
  2245     85  571   275    106  438   210
  1694     86  760  1053     75  639   841
   892     87  420   362    116  335   276
  3915     88  477   472    214  335   311
    48     89  419   260    152  330   207
   116     90  435   278     99  360   213
  1105     91  481   770    170  385   608
  1030     92  737   853     91  598   604
  1188     93  664   683     92  538   482
  7438     94  674  2083    118  528  1180
  2607     95  709  2502    102  547  1437
   493     96  432   425    221  325   308
  5004     97  655   539    172  516   459
    63     98  728  1269     77  623   980
  1450     99  793   548     54  696   488
  1557    100  645   981    128  502   713
