  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28      1  785    23
 25118     11  760     9      6  333     7
 17388     16  544     3      2  407     2
  4597     27  657    25      3  617    18
  4770     30  503    11      8  228     5
  4613     32  679     5      4  639     5
  4590     33  634     5      5  594     5
  3786     39  407     5     10  249     5
 17395     67  119     1      7   96     1
 56543     75  273     3     12  160     2
 17393     84    2    10      9    1     9
