  node o_rank o_in o_out p_rank p_in p_out
  1317      2 1181    18      1  933    16
  4960      3 1055    13      2  509    11
  6541     31  592    27      3  445    26
 23655     40  360    14      4  214    14
  4585     56  322    17     17  139    12
  6527     65  333     1      8  264     1
  2714     76  140     2      5   73     1
  6535     82  316    10     54   94     9
  4980     86  113     5     11   79     5
 16422     88    1     1     10    1     1
  1370     94  160     6      7  154     6
 16423     95    2     4     13    1     4
  1255     96  251    11     14  173     9
 17394     98   18     3   3702   10     0
