  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      1 1994   272
     3      2 1049  1163     15  824   862
   338      3  672   735     82  507   536
   102      4  695   937     34  568   589
   145      5 1496   873      2 1418   791
  4251      6 1088   426      7  959   370
   308      7  856   646     19  736   551
  1644      8 1518   790      3 1302   643
   952      9 1116  1625      4  990  1250
   127     10  850   947     10  746   722
   172     11  986  1635     12  901  1384
   894     12  408   404    266  311   305
  1882     13 1248   970      6 1153   838
  1249     14 1195  1683      8 1078  1288
  2093     15 1190  1774     13 1073  1046
   619     16 1184   953      5 1119   840
   353     17  812  1041     14  713   864
  2371     18  490   396    165  382   300
  1764     19  789  2414     83  667  1054
  1351     20 1023  1071     11  952   984
   903     21 1126  1033      9 1066   959
  1113     22  841  2175     28  727  1242
   149     23  867   762     21  784   615
   396     24  638   792     53  540   623
   736     25  726   824     20  667   668
   138     26  537  1355    119  433   726
   165     27  610   547     32  551   517
  2376     28 1016  1362     24  927  1020
   142     29  822   405     27  763   369
  2569     30 1037  1482     17  972  1333
   957     31  983   772     18  920   669
  4709     32  814  1260     30  736   970
  1511     33  740  1581     63  638  1150
  1164     34  736   480     41  680   424
   745     35  668   519     29  615   469
   131     36  633   873     65  566   602
  3878     37  769   953     60  670   829
   867     38  868  1000     23  800   864
   921     39  734   628     35  680   576
   907     40  819  1310     26  766  1165
   960     41 1027  1300     16  989  1236
   213     43  756  1364     36  682  1048
  3786     44  923   876     45  867   730
  1387     45  765   396     33  727   365
   519     46  817   670     25  766   610
   887     47  793  1209     31  749  1087
  4972     48  894  1829     49  791  1239
   302     49  775  1168     57  686   933
   155     50  797   828     37  752   727
    50     51  487   399     86  431   341
  3493     52  939   968     40  892   889
  1446     53  929   672     22  885   584
  1964     54  644   709     94  566   514
   924     55  714   861     47  658   739
  1558     56  931   399     42  840   362
   374     57  802  1103     39  758   988
   205     58  458  1527    171  393  1091
  2871     59  856  1667     55  788  1277
   939     60  559   212    102  497   176
   203     61  717   771     52  669   682
  1659     62  590  1607    142  512   854
  3185     63  592   767    107  512   553
    80     64  711  1075     48  660   965
  2731     65  841   631     44  786   576
   830     66  595   502     66  550   399
   844     67  763   339     38  729   308
  4600     68  577   729    138  511   516
  3052     69  788  1248     80  698   934
  1298     70  732   723     43  685   514
   393     71  730   804     58  675   706
   816     72  736   671     46  699   619
   853     73  616   873     59  573   695
   500     74  624   627     56  585   562
  3996     75  614   501     71  566   439
  2207     76  666   900     81  612   705
   126     77  470   365    148  412   297
   101     78  366   118    253  312   101
  1055     79  628   930     95  554   716
  2775     80  667   971     69  605   807
  1431     81  825  1000     50  779   923
  1803     82  875  1482     54  818  1256
  3823     83  512   814    216  441   457
  1514     84  686   392     72  603   319
  2245     85  571   275     88  514   235
  1694     86  760  1053     67  713   923
   892     87  420   362    169  365   282
  3915     88  477   472    157  412   389
    48     89  419   260    183  363   223
   116     90  435   278    172  372   214
  1105     91  481   770    159  432   672
  1030     92  737   853     61  697   721
  1188     93  664   683     68  623   510
  7438     94  674  2083    103  595  1073
  2607     95  709  2502     97  634  1393
   493     96  432   425    196  366   338
  5004     97  655   539    126  593   469
    63     98  728  1269     78  672   972
  1450     99  793   548     51  761   524
  1557    100  645   981     98  592   765
