  node o_rank o_in o_out p_rank p_in p_out
  4584      1 1234    28     23  263    28
  1317      2 1181    18      6  604    18
  4960      3 1055    13      2  851    13
  1084      4 1243    49      1 1060    49
  6523      5  816    17     13  351    17
  4963      6  662     2    126   39     2
   700      7  636     2     94   51     2
  3912      8  772     5     67   85     5
  6259      9  837     9      3  832     9
 11366     10  798     3     22  292     3
 25118     11  760     9     86   52     9
  3507     12  671    20      9  408    20
   953     13  624     6     12  324     6
  6538     14  592     9      5  489     9
   698     15  714    19      7  560    19
 17388     16  544     3    737   11     3
  1898     17  814    18     93   81    18
  1934     18  786    18     38  157    18
   799     19  746    10     10  500    10
  2436     20  632     0    307   41     0
  6518     21  779    29      4  765    29
 25119     22  659     8    184   81     8
   695     23  485     8     58   67     8
   699     24  537    14     65   80    14
 25121     25  704     0    781   33     0
  6540     26  684     3     33  215     3
  4597     27  657    25     50  151    25
  2941     28  655     6     11  537     6
  8672     29  580    17     45   97    17
  4770     30  503    11     35  136    11
  6541     31  592    27      8  523    27
  4613     32  679     5     59  155     5
  4590     33  634     5     63  144     5
 25115     34  603    21     82  112    21
  6533     35  539     0   8879    9     0
 25116     36  471    12    107   68    12
  5648     37  441     7     71  110     7
  4969     38  504    17     24  324    17
  3786     39  407     5     15  387     5
 23655     40  360    14     88   66    14
    42     41  309    17     16  258    17
   233     42  327    12    175   41    12
  3265     43    6     2    333    6     2
 24415     44  365    13     20  289    13
  9218     45   57     4    516    4     4
  5814     46  430    14     19  332    14
  9217     49    8     2    526    3     2
 10143     50  479    16     14  469    16
  4587     51  404    11    607   57    11
  1232     52  463     1    523   36     1
   398     53  412     9    286   35     9
 27211     54  211     3   6516    3     3
   697     55  437     6    879   27     6
  4585     56  322    17     21  297    17
 26085     57  485    15    253   62    15
 12858     58    1     1    452    1     1
 12859     59    1     3    453    1     3
 12890     60  374    20    401   36    20
  6526     61  343     6     37  172     6
  2099     62  394    10     39  188    10
 32817     63  417    17    115   85    17
 11815     64   16     3     57   16     3
  6527     65  333     1    362   47     1
  6274     66  242     4     17  242     4
 17395     67  119     1   2370    5     1
 11830     68    8    11     68    3    11
  6273     69  218     7     18  218     7
  7786     70  302    24  25685    2     0
  4586     71  227     3    304   35     3
 61847     72  406    15    475   52    15
  3938     73  223     2    555   16     2
  3911     74  218     8    274   49     8
 56543     75  273     3    644   29     3
  2714     76  140     2   5786    5     2
  9562     77  316    10    123   76    10
  5287     78   80     8    224   22     8
 61849     81  402    15    593   49    15
  6535     82  316    10     34  225    10
  2756     83  176     5     30  139     5
 17393     84    2    10   2926    2    10
 30647     85  260     4  13796    3     0
  4980     86  113     5     29   92     5
  1831     87  270    12     27  261    12
 16422     88    1     1    458    1     1
 34695     89  208    13   1386    9     2
  6520     90  289    10     26  275    10
  6530     91  290     7     42  166     7
  7744     92  255    12    130   83    12
  6277     93  170     6     25  170     6
  1370     94  160     6     44  121     6
 16423     95    2     4    538    1     4
  1255     96  251    11    343   46    11
    59     97  143     4     31  131     4
 17394     98   18     3   3734    2     3
 19048     99  212     7   6641    4     2
