  node o_rank o_in o_out p_rank p_in p_out
    14      1 3035    44      1 2888    44
   185      2 1317   372      2 1251   370
   529      3 1140    46      3 1097    46
   230      4 1284   102      5 1218   102
   114      5 1004   123      4  973   123
   132      6 1180   111      6 1129   111
   530      7 1521   171      7 1452   157
    36      8  817   238      8  811   238
  1960      9  784   123      9  743   123
  2136     10  708    38     30  586    37
   323     11 1166    85     10 1150    85
  1961     12  768   117     34  699   110
   124     13  848   101     15  832   100
    73     14  694   199     16  674   197
   540     15  625   139     13  606   139
   335     16  586   153     17  562   153
   173     17  694   274     11  668   272
   492     18  522    96     18  502    96
    23     19  894   334     14  873   333
   275     20  507   109     20  494   109
   542     21  497   226     23  480   222
   150     22  724   200     12  718   200
   131     23  632   188     19  617   187
   615     24  482    66     29  469    66
   372     25  577   120     32  545   119
   563     26  683    30     42  603    30
   277     27  439   139     27  428   139
    55     28  517    86     26  506    86
   174     29  614    85     24  598    85
  2137     30  941   106     37  909   105
    24     31  785   139     25  776   139
  2902     32  540   158     38  491   155
   140     33  802   320     31  787   320
   489     34  623    60     39  593    60
    30     35  820   493     22  814   493
   183     36  625   236     35  612   236
   157     37  657   152     21  654   152
   231     38  800    37     61  741    36
   165     39  496    99     33  483    99
   380     40  457   193     28  455   193
    60     41  499    47     59  461    47
   269     42  365   128     41  352   124
  1139     43  527   103     49  505   103
   186     44  524   308     44  507   304
  2158     45  391    93     50  374    93
  1972     46  328   161     46  316   160
  1783     47  440   119     45  426   118
   512     48  372    80     72  335    80
   220     49  908     3     43  898     3
    40     50  672   843     66  638   811
    27     51  579   440     36  574   438
    45     52  519    90     56  496    90
   407     53  378   111     51  366   111
   292     54  579   258     40  577   258
   357     55  423   422     48  414   413
   487     56  352   354     74  333   333
  2130     57  439    97     82  405    95
  2469     58  339    70     62  327    70
   703     59  433   124     60  428   124
   697     60  423   424     85  395   396
   734     61  369   162     47  368   162
  2510     62  820   313     63  810   312
   163     63  442    88     71  430    87
  2122     64  319   125     95  288   112
   149     65  401   140     53  397   139
   121     66  668    68     64  659    66
     0     67  636   139     57  626   139
   154     68  506   140     54  502   140
   294     69  491   120     69  483   120
    70     70  512   188     52  504   188
   199     71  441    56     68  433    56
    15     72  466   190     55  465   190
   322     73  464    23     67  458    23
   559     74  414    91    121  361    91
   344     75  425   210     65  424   210
