  node o_rank o_in o_out p_rank p_in p_out
    33      1 2235   291      2 1888   291
     3      2 1049  1163      1  996  1163
   338      3  672   735     49  494   533
   102      4  695   937      3  657   937
   145      5 1496   873      4 1351   873
  4251      6 1088   426     11  926   375
   308      7  856   646      6  792   646
  1644      8 1518   790      7 1238   790
   952      9 1116  1625     10  942  1254
   127     10  850   947      5  804   947
   172     11  986  1635      8  908  1635
   894     12  408   404    218  308   307
  1882     13 1248   970     13 1067   804
  1249     14 1195  1683     24  941  1239
  2093     15 1190  1774     31  967  1104
   619     16 1184   953     17 1032   832
   353     17  812  1041     14  709   899
  2371     18  490   396    122  338   257
  1764     19  789  2414    125  597  1185
  1351     20 1023  1071      9  963  1071
   903     21 1126  1033     15 1021   940
  1113     22  841  2175     52  647  1254
   149     23  867   762     18  787   762
   396     24  638   792     20  595   792
   736     25  726   824     12  707   824
   138     26  537  1355     74  441   904
   165     27  610   547     16  580   547
  2376     28 1016  1362     46  825   949
   142     29  822   405     21  767   405
  2569     30 1037  1482     34  901  1228
   957     31  983   772     22  889   669
  4709     32  814  1260     45  681   955
  1511     33  740  1581     66  608  1155
  1164     34  736   480     33  656   431
   745     35  668   519     19  649   519
   131     36  633   873     23  608   873
  3878     37  769   953     61  644   799
   867     38  868  1000     41  725   806
   921     39  734   628     59  614   548
   907     40  819  1310     39  726  1133
   960     41 1027  1300     25  928  1188
   213     43  756  1364     51  647  1081
  3786     44  923   876     56  816   732
  1387     45  765   396     32  719   379
   519     46  817   670     37  743   610
   887     47  793  1209     30  748  1093
  4972     48  894  1829     64  694  1176
   302     49  775  1168     93  581   827
   155     50  797   828     29  754   828
    50     51  487   399     28  463   399
  3493     52  939   968     43  858   968
  1446     53  929   672     38  828   579
  1964     54  644   709     96  523   495
   924     55  714   861     26  679   861
  1558     56  931   399     57  792   355
   374     57  802  1103     27  783  1103
   205     58  458  1527     35  445  1527
  2871     59  856  1667     99  700  1189
   939     60  559   212     72  479   180
   203     61  717   771     36  675   771
  1659     62  590  1607    186  463   926
  3185     63  592   767     73  510   588
    80     64  711  1075     48  635   923
  2731     65  841   631     65  706   533
   830     66  595   502     50  528   404
   844     67  763   339     44  707   313
  4600     68  577   729    112  474   530
  3052     69  788  1248     91  664   941
  1298     70  732   723     47  653   546
   393     71  730   804     42  695   804
   816     72  736   671     53  665   614
   853     73  616   873     55  556   725
   500     74  624   627     40  599   627
  3996     75  614   501     71  536   430
  2207     76  666   900    106  576   699
   126     77  470   365    104  414   319
   101     78  366   118    110  333   118
  1055     79  628   930    109  515   705
  2775     80  667   971     78  583   793
  1431     81  825  1000     67  722   889
  1803     82  875  1482     83  746  1125
  3823     83  512   814    318  379   459
  1514     84  686   392     62  588   344
  2245     85  571   275    123  463   225
  1694     86  760  1053     92  664   885
   892     87  420   362    116  362   301
  3915     88  477   472    153  372   351
    48     89  419   260    113  353   224
   116     90  435   278     76  396   278
  1105     91  481   770    187  401   641
  1030     92  737   853     98  639   646
  1188     93  664   683     88  588   524
  7438     94  674  2083    124  563  1199
  2607     95  709  2502    132  586  1504
   493     96  432   425    181  350   344
  5004     97  655   539    188  538   455
    63     98  728  1269     95  651  1008
  1450     99  793   548     60  728   548
  1557    100  645   981    139  545   759
